timestamp,open,high,low,close,volume
2019-09-05 11:18:00,113.0800,113.1000,113.0200,113.0700,21117
2019-09-05 11:17:00,113.1500,113.1550,113.1046,113.1200,12395
2019-09-05 11:16:00,113.2600,113.2600,113.1300,113.1500,17565
2019-09-05 11:15:00,113.2000,113.2600,113.2000,113.2600,11875
2019-09-05 11:14:00,113.2000,113.2100,113.1700,113.1900,15604
2019-09-05 11:13:00,113.2600,113.2750,113.2200,113.2300,14601
2019-09-05 11:12:00,113.2600,113.2750,113.2300,113.2500,14924
2019-09-05 11:11:00,113.2400,113.2700,113.2200,113.2650,29750
2019-09-05 11:10:00,113.2100,113.2300,113.1600,113.2300,17935
2019-09-05 11:09:00,113.2000,113.2400,113.1887,113.2100,21028
2019-09-05 11:08:00,113.2501,113.2600,113.2000,113.2000,11324
2019-09-05 11:07:00,113.2100,113.2700,113.1600,113.2500,26525
2019-09-05 11:06:00,113.1900,113.2500,113.1700,113.1900,16793
2019-09-05 11:05:00,113.1600,113.2400,113.1500,113.1700,41543
2019-09-05 11:04:00,113.1700,113.1700,113.0800,113.1500,0
2019-09-05 11:03:00,113.2100,113.2450,113.0997,113.1500,39439
2019-09-05 11:02:00,113.3200,113.3300,113.1600,113.2200,38784
2019-09-05 11:01:00,113.1800,113.3400,113.1800,113.3200,33481
2019-09-05 11:00:00,113.1600,113.1900,113.1100,113.1700,23053
2019-09-05 10:59:00,113.0800,113.1750,113.0600,113.1725,25196
2019-09-05 10:58:00,113.2200,113.2200,113.0400,113.0800,55912
2019-09-05 10:57:00,113.0900,113.2200,113.0400,113.2100,27559
2019-09-05 10:56:00,113.2800,113.3000,113.0400,113.1100,157217
2019-09-05 10:55:00,113.3400,113.3400,113.2400,113.2691,25908
2019-09-05 10:54:00,113.2600,113.3470,113.2600,113.3470,30623
2019-09-05 10:53:00,113.2500,113.2950,113.2300,113.2600,22708
2019-09-05 10:52:00,113.2900,113.3200,113.2500,113.2510,35831
2019-09-05 10:51:00,113.1200,113.2900,113.0900,113.2900,43497
2019-09-05 10:50:00,113.1900,113.1900,113.1000,113.1200,27911
2019-09-05 10:49:00,113.2500,113.2500,113.1798,113.1800,39446
2019-09-05 10:48:00,113.3500,113.3600,113.2500,113.2600,46115
2019-09-05 10:47:00,113.3600,113.3800,113.3000,113.3500,35938
2019-09-05 10:46:00,113.4500,113.4800,113.3500,113.3600,35743
2019-09-05 10:45:00,113.4100,113.4900,113.4000,113.4400,35294
2019-09-05 10:44:00,113.5500,113.5500,113.4100,113.4136,25386
2019-09-05 10:43:00,113.5400,113.5700,113.4800,113.5400,25277
2019-09-05 10:42:00,113.6650,113.6650,113.5200,113.5400,21572
2019-09-05 10:41:00,113.6300,113.6900,113.6200,113.6700,29345
2019-09-05 10:40:00,113.6630,113.6700,113.5800,113.6200,29232
2019-09-05 10:39:00,113.6400,113.6700,113.5950,113.6700,14796
2019-09-05 10:38:00,113.6700,113.6997,113.6211,113.6450,19239
2019-09-05 10:37:00,113.6700,113.7200,113.6500,113.6600,51195
2019-09-05 10:36:00,113.5850,113.6700,113.5600,113.6700,47981
2019-09-05 10:35:00,113.5000,113.5800,113.4400,113.5800,22195
2019-09-05 10:34:00,113.4700,113.5400,113.4600,113.4850,25996
2019-09-05 10:33:00,113.5000,113.5000,113.4064,113.4500,27397
2019-09-05 10:32:00,113.5200,113.5800,113.4900,113.4900,27982
2019-09-05 10:31:00,113.6300,113.6400,113.5000,113.5100,29543
2019-09-05 10:30:00,113.5050,113.6300,113.4900,113.6300,31814
2019-09-05 10:29:00,113.5440,113.5440,113.4800,113.5000,37183
2019-09-05 10:28:00,113.4400,113.5550,113.4200,113.5500,74919
2019-09-05 10:27:00,113.3900,113.4500,113.3600,113.4300,26397
2019-09-05 10:26:00,113.4200,113.4600,113.3900,113.3900,60945
2019-09-05 10:25:00,113.4950,113.5022,113.3800,113.4150,51106
2019-09-05 10:24:00,113.5300,113.5600,113.4900,113.4900,51967
2019-09-05 10:23:00,113.5000,113.6200,113.4900,113.5490,48837
2019-09-05 10:22:00,113.4900,113.5500,113.4900,113.5000,28739
2019-09-05 10:21:00,113.5600,113.5900,113.4700,113.4900,45306
2019-09-05 10:20:00,113.6200,113.6400,113.5346,113.5900,159744
2019-09-05 10:19:00,113.5965,113.7000,113.5700,113.6400,47015
2019-09-05 10:18:00,113.6000,113.6500,113.5600,113.6000,24404
2019-09-05 10:17:00,113.5850,113.7100,113.5500,113.6000,51030
2019-09-05 10:16:00,113.4771,113.6400,113.4700,113.5800,68739
2019-09-05 10:15:00,113.4200,113.4900,113.4200,113.4800,59416
2019-09-05 10:14:00,113.4200,113.4400,113.3800,113.4300,73568
2019-09-05 10:13:00,113.4300,113.4800,113.4000,113.4400,93784
2019-09-05 10:12:00,113.4150,113.4800,113.4000,113.4200,73501
2019-09-05 10:11:00,113.3200,113.4300,113.3000,113.4100,52651
2019-09-05 10:10:00,113.3200,113.4200,113.2400,113.3400,81801
2019-09-05 10:09:00,113.1700,113.3300,113.1600,113.3100,125892
2019-09-05 10:08:00,113.0833,113.2000,113.0600,113.1700,45951
2019-09-05 10:07:00,112.9900,113.1525,112.9700,113.0900,46857
2019-09-05 10:06:00,112.9500,113.0600,112.9050,113.0000,97499
2019-09-05 10:05:00,112.9350,112.9899,112.9100,112.9600,34746
2019-09-05 10:04:00,112.9000,112.9800,112.8700,112.9200,50781
2019-09-05 10:03:00,112.8700,112.9200,112.8000,112.8841,41606
2019-09-05 10:02:00,112.7100,112.9000,112.6601,112.8800,31990
2019-09-05 10:01:00,112.6000,112.7800,112.5900,112.7000,105047
2019-09-05 10:00:00,112.6400,112.6500,112.5600,112.5600,31950
2019-09-05 09:59:00,112.6800,112.7200,112.6396,112.6450,39178
2019-09-05 09:58:00,112.7000,112.7000,112.6100,112.6809,20992
2019-09-05 09:57:00,112.7800,112.8000,112.6800,112.7200,32955
2019-09-05 09:56:00,112.8400,112.8900,112.7400,112.7700,29863
2019-09-05 09:55:00,112.8400,112.9100,112.7600,112.8000,50762
2019-09-05 09:54:00,112.9000,112.9300,112.8200,112.8600,69606
2019-09-05 09:53:00,112.8500,112.9736,112.8400,112.9000,41598
2019-09-05 09:52:00,112.8422,112.9488,112.8290,112.8522,73782
2019-09-05 09:51:00,112.5700,112.8305,112.5500,112.8305,65777
2019-09-05 09:50:00,112.7200,112.7253,112.5500,112.5700,51929
2019-09-05 09:49:00,112.5000,112.7500,112.5000,112.7165,51145
2019-09-05 09:48:00,112.6100,112.6600,112.4800,112.4800,34745
2019-09-05 09:47:00,112.7400,112.7500,112.5500,112.5922,42548
2019-09-05 09:46:00,112.4900,112.8400,112.4900,112.7300,120552
2019-09-05 09:45:00,112.5100,112.6000,112.4100,112.4600,50128
2019-09-05 09:44:00,112.6200,112.6200,112.4700,112.5400,41635
2019-09-05 09:43:00,112.7800,112.8100,112.6300,112.6300,69576
2019-09-05 09:42:00,112.7280,112.9405,112.6891,112.7580,108098
2019-09-05 09:41:00,113.0000,113.0200,112.7100,112.7100,108790
2019-09-05 09:40:00,112.8300,113.0800,112.8300,112.9900,132442
2019-09-05 09:39:00,112.7000,112.9200,112.7000,112.8400,151504
